Potencial invasor,Registros,Interacción
Desconocido,0,Alelopatía
No,4,Alelopatía
Si,0,Alelopatía
Desconocido,0,Dispersión
No,13,Dispersión
Si,0,Dispersión
Desconocido,30,Epibiosis
No,222,Epibiosis
Si,20,Epibiosis
Desconocido,13,Herbivoría
No,258,Herbivoría
Si,18,Herbivoría
Desconocido,0,Mutualismo
No,86,Mutualismo
Si,0,Mutualismo
Desconocido,3,Nidificación
No,11,Nidificación
Si,2,Nidificación
Desconocido,5,Oviposición
No,82,Oviposición
Si,8,Oviposición
Desconocido,4,Parasitismo
No,9,Parasitismo
Si,1,Parasitismo
Desconocido,67,Visita floral
No,680,Visita floral
Si,34,Visita floral
