Especie,Interacción,Registros
Weinmannia tomentosa,Dispersión,0
Espeletia grandiflora,Dispersión,0
Vallea stipularis,Dispersión,0
Macleania rupestris,Dispersión,0
Drimys granadensis,Dispersión,0
Lafoensia acuminata,Dispersión,0
Cavendishia nitida,Dispersión,0
Cavendishia bracteata,Dispersión,0
Smallanthus pyramidalis,Dispersión,0
Myrcianthes leucoxyla,Dispersión,1
Weinmannia tomentosa,Epibiosis,28
Espeletia grandiflora,Epibiosis,25
Vallea stipularis,Epibiosis,17
Macleania rupestris,Epibiosis,4
Drimys granadensis,Epibiosis,25
Lafoensia acuminata,Epibiosis,15
Cavendishia nitida,Epibiosis,0
Cavendishia bracteata,Epibiosis,0
Smallanthus pyramidalis,Epibiosis,0
Myrcianthes leucoxyla,Epibiosis,3
Weinmannia tomentosa,Herbivoría,0
Espeletia grandiflora,Herbivoría,3
Vallea stipularis,Herbivoría,1
Macleania rupestris,Herbivoría,1
Drimys granadensis,Herbivoría,0
Lafoensia acuminata,Herbivoría,3
Cavendishia nitida,Herbivoría,2
Cavendishia bracteata,Herbivoría,1
Smallanthus pyramidalis,Herbivoría,8
Myrcianthes leucoxyla,Herbivoría,16
Weinmannia tomentosa,Mutualismo,21
Espeletia grandiflora,Mutualismo,12
Vallea stipularis,Mutualismo,0
Macleania rupestris,Mutualismo,2
Drimys granadensis,Mutualismo,6
Lafoensia acuminata,Mutualismo,0
Cavendishia nitida,Mutualismo,0
Cavendishia bracteata,Mutualismo,0
Smallanthus pyramidalis,Mutualismo,0
Myrcianthes leucoxyla,Mutualismo,0
Weinmannia tomentosa,Nidificación,0
Espeletia grandiflora,Nidificación,0
Vallea stipularis,Nidificación,0
Macleania rupestris,Nidificación,0
Drimys granadensis,Nidificación,0
Lafoensia acuminata,Nidificación,1
Cavendishia nitida,Nidificación,0
Cavendishia bracteata,Nidificación,0
Smallanthus pyramidalis,Nidificación,0
Myrcianthes leucoxyla,Nidificación,0
Weinmannia tomentosa,Oviposición,0
Espeletia grandiflora,Oviposición,1
Vallea stipularis,Oviposición,0
Macleania rupestris,Oviposición,2
Drimys granadensis,Oviposición,0
Lafoensia acuminata,Oviposición,2
Cavendishia nitida,Oviposición,0
Cavendishia bracteata,Oviposición,0
Smallanthus pyramidalis,Oviposición,5
Myrcianthes leucoxyla,Oviposición,0
Weinmannia tomentosa,Parasitismo,0
Espeletia grandiflora,Parasitismo,0
Vallea stipularis,Parasitismo,1
Macleania rupestris,Parasitismo,1
Drimys granadensis,Parasitismo,0
Lafoensia acuminata,Parasitismo,0
Cavendishia nitida,Parasitismo,0
Cavendishia bracteata,Parasitismo,0
Smallanthus pyramidalis,Parasitismo,0
Myrcianthes leucoxyla,Parasitismo,0
Weinmannia tomentosa,Visita floral,1
Espeletia grandiflora,Visita floral,7
Vallea stipularis,Visita floral,22
Macleania rupestris,Visita floral,25
Drimys granadensis,Visita floral,0
Lafoensia acuminata,Visita floral,10
Cavendishia nitida,Visita floral,25
Cavendishia bracteata,Visita floral,25
Smallanthus pyramidalis,Visita floral,12
Myrcianthes leucoxyla,Visita floral,4
