Especie,Registros,Interacción
Phoenix canariensis,43,Epibiosis
Fraxinus uhdei,31,Epibiosis
Phoenix roebelenii,35,Epibiosis
Taraxacum officinale,0,Epibiosis
Eucalyptus globulus,3,Epibiosis
Prunus serotina,13,Epibiosis
Pittosporum undulatum,15,Epibiosis
Trifolium repens,0,Epibiosis
Brassica oleracea,0,Epibiosis
Hypochaeris radicata,0,Epibiosis
Phoenix canariensis,0,Herbivoría
Fraxinus uhdei,1,Herbivoría
Phoenix roebelenii,0,Herbivoría
Taraxacum officinale,3,Herbivoría
Eucalyptus globulus,1,Herbivoría
Prunus serotina,7,Herbivoría
Pittosporum undulatum,0,Herbivoría
Trifolium repens,5,Herbivoría
Brassica oleracea,4,Herbivoría
Hypochaeris radicata,1,Herbivoría
Phoenix canariensis,0,Mutualismo
Fraxinus uhdei,0,Mutualismo
Phoenix roebelenii,0,Mutualismo
Taraxacum officinale,0,Mutualismo
Eucalyptus globulus,9,Mutualismo
Prunus serotina,0,Mutualismo
Pittosporum undulatum,0,Mutualismo
Trifolium repens,0,Mutualismo
Brassica oleracea,0,Mutualismo
Hypochaeris radicata,0,Mutualismo
Phoenix canariensis,1,Nidificación
Fraxinus uhdei,1,Nidificación
Phoenix roebelenii,0,Nidificación
Taraxacum officinale,0,Nidificación
Eucalyptus globulus,0,Nidificación
Prunus serotina,0,Nidificación
Pittosporum undulatum,0,Nidificación
Trifolium repens,0,Nidificación
Brassica oleracea,0,Nidificación
Hypochaeris radicata,0,Nidificación
Phoenix canariensis,0,Oviposición
Fraxinus uhdei,2,Oviposición
Phoenix roebelenii,0,Oviposición
Taraxacum officinale,0,Oviposición
Eucalyptus globulus,1,Oviposición
Prunus serotina,1,Oviposición
Pittosporum undulatum,2,Oviposición
Trifolium repens,4,Oviposición
Brassica oleracea,3,Oviposición
Hypochaeris radicata,0,Oviposición
Phoenix canariensis,0,Parasitismo
Fraxinus uhdei,0,Parasitismo
Phoenix roebelenii,0,Parasitismo
Taraxacum officinale,1,Parasitismo
Eucalyptus globulus,0,Parasitismo
Prunus serotina,0,Parasitismo
Pittosporum undulatum,0,Parasitismo
Trifolium repens,0,Parasitismo
Brassica oleracea,1,Parasitismo
Hypochaeris radicata,0,Parasitismo
Phoenix canariensis,0,Visita floral
Fraxinus uhdei,1,Visita floral
Phoenix roebelenii,0,Visita floral
Taraxacum officinale,31,Visita floral
Eucalyptus globulus,17,Visita floral
Prunus serotina,9,Visita floral
Pittosporum undulatum,10,Visita floral
Trifolium repens,13,Visita floral
Brassica oleracea,10,Visita floral
Hypochaeris radicata,17,Visita floral
